EmployeeID,FacilityID,OrganizationLevel,SalesPersonFlag,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ModifiedDate,NameFull,PayGradeID
1,3,0,0,Chief Executive Officer,1978-08-04,S,F,2003-10-13,1,99,69,1,2008-07-31 0:00, Ashley Berry,5
2,1,1,0,Vice President of Engineering,1962-12-21,S,F,1997-12-30,1,1,20,1,2008-07-31 0:00, Jasmine Lopez,2
3,6,2,0,Engineering Manager,1948-10-15,M,F,2001-04-12,1,2,21,1,2008-07-31 0:00, Megan Francis,4
4,4,3,0,Senior Tool Designer,1959-05-09,S,F,1998-08-03,0,48,80,1,2008-07-31 0:00, Suzanne Carpenter,5
5,7,3,0,Design Engineer,1976-07-24,M,F,1997-11-19,1,5,22,1,2008-07-31 0:00, Margie Perkins,9
6,9,3,0,Design Engineer,1946-01-03,M,F,2002-03-25,1,6,23,1,2008-07-31 0:00, Erika George,2
7,3,3,0,Research and Development Manager,1972-06-22,M,F,1999-01-02,1,61,50,1,2008-07-31 0:00, Dorothy Underwood,1
8,5,4,0,Research and Development Engineer,1963-10-24,S,F,2002-04-02,1,62,51,1,2008-07-31 0:00, Lori Moore,5
9,3,4,0,Research and Development Engineer,1974-08-03,M,F,2003-10-07,1,63,51,1,2008-07-31 0:00, Marsha Spencer,10
10,5,4,0,Research and Development Manager,1980-07-18,M,F,2001-10-05,1,16,64,1,2008-07-31 0:00, Lydia Butler,9
11,5,3,0,Senior Tool Designer,1990-04-15,S,F,1998-03-06,0,7,23,1,2008-07-31 0:00, Carole Brock,10
12,10,4,0,Tool Designer,1959-05-04,M,F,2003-06-05,0,9,24,1,2008-07-31 0:00, Phyllis Phillips,2
13,5,4,0,Tool Designer,1989-04-17,M,F,1997-05-26,0,8,24,1,2008-07-31 0:00, Whitney Copeland,10
14,8,3,0,Senior Design Engineer,1979-01-08,S,F,2003-02-15,1,3,21,1,2008-07-31 0:00, Doreen Lambert,2
15,6,3,0,Design Engineer,1989-11-15,M,F,1997-01-13,1,4,22,1,2008-07-31 0:00, Diana Schmidt,6
16,6,1,0,Marketing Manager,1948-09-12,S,F,1998-11-21,1,40,40,1,2008-07-31 0:00, Jean Smith,1
17,1,2,0,Marketing Assistant,1947-11-20,S,F,2003-09-09,0,42,41,1,2008-07-31 0:00, Loretta Bass,1
18,4,2,0,Marketing Specialist,1957-10-12,S,F,2002-06-03,0,48,44,1,2008-07-31 0:00, Willie Robbins,9
19,6,2,0,Marketing Assistant,1948-01-04,S,F,2003-02-04,0,43,41,1,2008-07-31 0:00, Miranda Hubbard,4
20,5,2,0,Marketing Assistant,1993-10-31,M,F,2003-03-07,0,41,40,1,2008-07-31 0:00, Brooke Rodgers,10
